preprocessor,arm_name,dataset_name,seed_split,seed_algo,r2,rmsep,rmse_cv,n_components,n_fits,wall_time,n_test
snv_derivative,pls_full,tecator,4,0,0.9656,2.6328,1.9502,4,101,0.312911,54
snv_derivative,pls_full,tecator,5,0,0.9638,2.0948,2.3273,3,101,0.303739,54
snv_derivative,pls_full,tecator,6,0,0.9700,2.2773,2.2967,3,101,0.317062,54
snv_derivative,pls_full,tecator,7,0,0.9697,1.6974,2.3968,3,101,0.341315,54
snv_derivative,pls_full,tecator,8,0,0.9688,2.3028,2.1630,4,101,0.470778,54
snv_derivative,pls_full,tecator,9,0,0.9683,2.4387,2.1429,5,101,0.304402,54
snv_derivative,pls_full,tecator,10,0,0.9729,2.1621,2.0256,5,101,0.301394,54
snv_derivative,pls_full,tecator,11,0,0.9658,2.0138,2.1853,7,101,0.321675,54
snv_derivative,pls_full,tecator,12,0,0.9659,1.9544,2.3279,3,101,0.315881,54
snv_derivative,pls_full,tecator,13,0,0.9662,2.4246,2.2296,4,101,0.334963,54
snv_derivative,pls_full,tecator,14,0,0.9674,2.2782,2.1359,5,101,0.337017,54
snv_derivative,pls_full,tecator,15,0,0.9595,2.5422,1.8132,10,101,0.299106,54
snv_derivative,pls_full,tecator,16,0,0.9680,2.5101,2.0938,7,101,0.351844,54
snv_derivative,pls_full,tecator,17,0,0.9656,2.1395,2.1473,4,101,0.319487,54
snv_derivative,pls_full,tecator,18,0,0.9644,2.5258,2.1659,4,101,0.293942,54
snv_derivative,pls_full,tecator,19,0,0.9628,2.5510,2.0783,3,101,0.298296,54
snv_derivative,pls_full,tecator,20,0,0.9762,1.8874,2.3075,3,101,0.294970,54
snv_derivative,pls_full,tecator,21,0,0.9755,1.8875,2.0367,9,101,0.305900,54
snv_derivative,pls_full,tecator,22,0,0.9667,2.3014,1.8830,9,101,0.295313,54
snv_derivative,pls_full,tecator,23,0,0.9752,1.9792,2.2054,6,101,0.301239,54
snv_derivative,pls_full,tecator,24,0,0.9875,1.3286,2.2490,11,101,0.291448,54
snv_derivative,pls_full,tecator,25,0,0.9653,2.3070,2.2915,3,101,0.278518,54
snv_derivative,pls_full,tecator,26,0,0.9706,1.9121,2.1443,10,101,0.300480,54
snv_derivative,pls_full,tecator,27,0,0.9759,1.6532,2.1950,5,101,0.287963,54
snv_derivative,pls_full,tecator,28,0,0.9533,2.4719,2.0416,9,101,0.304086,54
snv_derivative,pls_full,tecator,29,0,0.9657,2.2079,2.0157,8,101,0.318250,54
